/home/annatruzzi/deepcluster_eval/dc_3/checkpoint26
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_3/checkpoint_dc3_epoch26.pth.tar'
Loaded
Epoch: [0][3400/5005]	Time 0.059 (0.116)	Data 0.000 (0.065)	Loss 5.1343 (5.8234)	Prec@1 12.109 (9.070)	Prec@5 32.422 (22.009)
Epoch: [0][3500/5005]	Time 0.051 (0.116)	Data 0.000 (0.065)	Loss 5.2806 (5.8063)	Prec@1 9.766 (9.175)	Prec@5 26.562 (22.203)
Epoch: [0][3600/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.2395 (5.7899)	Prec@1 12.109 (9.273)	Prec@5 27.344 (22.378)
Epoch: [0][3700/5005]	Time 0.053 (0.116)	Data 0.000 (0.065)	Loss 5.1705 (5.7739)	Prec@1 12.500 (9.365)	Prec@5 25.781 (22.550)
Epoch: [0][3800/5005]	Time 0.047 (0.115)	Data 0.000 (0.065)	Loss 5.3002 (5.7582)	Prec@1 11.719 (9.463)	Prec@5 25.000 (22.720)
Epoch: [0][3900/5005]	Time 2.052 (0.116)	Data 2.001 (0.065)	Loss 5.0879 (5.7430)	Prec@1 15.625 (9.556)	Prec@5 31.250 (22.888)
Epoch: [0][4000/5005]	Time 0.047 (0.116)	Data 0.001 (0.065)	Loss 4.9834 (5.7279)	Prec@1 16.016 (9.647)	Prec@5 31.250 (23.055)
Epoch: [0][4100/5005]	Time 0.047 (0.116)	Data 0.001 (0.065)	Loss 5.0729 (5.7130)	Prec@1 17.578 (9.739)	Prec@5 28.906 (23.217)
Epoch: [0][4200/5005]	Time 0.047 (0.116)	Data 0.000 (0.065)	Loss 5.0531 (5.6984)	Prec@1 16.406 (9.841)	Prec@5 33.203 (23.388)
Epoch: [0][4300/5005]	Time 0.053 (0.115)	Data 0.000 (0.065)	Loss 4.9579 (5.6848)	Prec@1 12.891 (9.922)	Prec@5 32.812 (23.528)
Epoch: [0][4400/5005]	Time 0.048 (0.115)	Data 0.000 (0.065)	Loss 5.3457 (5.6715)	Prec@1 7.812 (10.004)	Prec@5 25.000 (23.670)
Epoch: [0][4500/5005]	Time 0.733 (0.116)	Data 0.687 (0.065)	Loss 5.1053 (5.6586)	Prec@1 13.672 (10.082)	Prec@5 30.469 (23.806)
Epoch: [0][4600/5005]	Time 0.048 (0.116)	Data 0.000 (0.065)	Loss 5.1511 (5.6457)	Prec@1 15.234 (10.160)	Prec@5 28.906 (23.940)
Epoch: [0][4700/5005]	Time 0.053 (0.116)	Data 0.000 (0.065)	Loss 5.0289 (5.6331)	Prec@1 14.453 (10.239)	Prec@5 31.641 (24.077)
Epoch: [0][4800/5005]	Time 0.090 (0.116)	Data 0.044 (0.065)	Loss 4.8748 (5.6208)	Prec@1 14.453 (10.309)	Prec@5 34.766 (24.206)
Epoch: [0][4900/5005]	Time 0.057 (0.116)	Data 0.000 (0.065)	Loss 5.1869 (5.6085)	Prec@1 11.328 (10.388)	Prec@5 26.172 (24.341)
Epoch: [0][5000/5005]	Time 0.047 (0.115)	Data 0.000 (0.065)	Loss 4.9474 (5.5966)	Prec@1 15.625 (10.456)	Prec@5 32.031 (24.464)
Validation: [0/391]	Time 7.722 (7.722)	Loss 4.6138 (4.6138)	Prec@1 28.906 (28.906)	Prec@5 50.781 (50.781)
Validation: [100/391]	Time 0.379 (0.457)	Loss 4.1758 (4.9465)	Prec@1 14.062 (12.013)	Prec@5 49.219 (28.837)
Validation: [200/391]	Time 0.374 (0.418)	Loss 5.5200 (4.9742)	Prec@1 11.719 (12.718)	Prec@5 25.000 (29.606)
Validation: [300/391]	Time 0.376 (0.405)	Loss 5.1009 (5.0306)	Prec@1 21.094 (12.840)	Prec@5 30.469 (29.241)
Epoch: [1][0/5005]	Time 4.014 (4.014)	Data 3.955 (3.955)	Loss 4.9814 (4.9814)	Prec@1 13.672 (13.672)	Prec@5 32.812 (32.812)
Epoch: [1][100/5005]	Time 0.047 (0.153)	Data 0.001 (0.104)	Loss 5.0757 (4.9606)	Prec@1 12.891 (15.026)	Prec@5 30.469 (31.830)
Epoch: [1][200/5005]	Time 0.047 (0.133)	Data 0.000 (0.085)	Loss 4.9955 (4.9534)	Prec@1 15.234 (14.805)	Prec@5 30.469 (31.800)
Epoch: [1][300/5005]	Time 0.047 (0.126)	Data 0.000 (0.078)	Loss 4.9753 (4.9470)	Prec@1 15.625 (14.763)	Prec@5 33.594 (31.877)
Epoch: [1][400/5005]	Time 0.047 (0.124)	Data 0.000 (0.075)	Loss 4.9650 (4.9471)	Prec@1 14.453 (14.741)	Prec@5 32.031 (31.835)
Epoch: [1][500/5005]	Time 0.054 (0.122)	Data 0.000 (0.073)	Loss 4.9210 (4.9433)	Prec@1 12.109 (14.745)	Prec@5 35.156 (31.947)
Epoch: [1][600/5005]	Time 1.477 (0.123)	Data 1.430 (0.074)	Loss 4.9164 (4.9417)	Prec@1 17.578 (14.728)	Prec@5 31.641 (31.983)
Epoch: [1][700/5005]	Time 0.050 (0.122)	Data 0.000 (0.072)	Loss 4.9975 (4.9373)	Prec@1 13.281 (14.754)	Prec@5 28.906 (32.008)
Epoch: [1][800/5005]	Time 0.054 (0.121)	Data 0.000 (0.071)	Loss 4.8716 (4.9328)	Prec@1 18.359 (14.767)	Prec@5 33.594 (31.997)
Epoch: [1][900/5005]	Time 0.061 (0.120)	Data 0.000 (0.071)	Loss 4.9611 (4.9275)	Prec@1 14.453 (14.827)	Prec@5 32.422 (32.062)
Epoch: [1][1000/5005]	Time 0.054 (0.119)	Data 0.000 (0.069)	Loss 4.8830 (4.9230)	Prec@1 16.016 (14.884)	Prec@5 35.156 (32.109)
Epoch: [1][1100/5005]	Time 0.047 (0.119)	Data 0.000 (0.069)	Loss 4.9069 (4.9172)	Prec@1 13.281 (14.919)	Prec@5 30.469 (32.206)
Epoch: [1][1200/5005]	Time 0.054 (0.118)	Data 0.000 (0.068)	Loss 4.7641 (4.9136)	Prec@1 12.891 (14.930)	Prec@5 35.156 (32.231)
Epoch: [1][1300/5005]	Time 0.055 (0.119)	Data 0.000 (0.069)	Loss 4.9382 (4.9092)	Prec@1 15.625 (14.960)	Prec@5 28.125 (32.280)
Epoch: [1][1400/5005]	Time 0.047 (0.119)	Data 0.000 (0.068)	Loss 4.5607 (4.9062)	Prec@1 18.359 (14.980)	Prec@5 37.500 (32.296)
Epoch: [1][1500/5005]	Time 0.058 (0.118)	Data 0.000 (0.068)	Loss 4.9013 (4.9011)	Prec@1 15.234 (15.030)	Prec@5 32.812 (32.359)
Epoch: [1][1600/5005]	Time 0.052 (0.118)	Data 0.001 (0.068)	Loss 4.4933 (4.8964)	Prec@1 21.094 (15.074)	Prec@5 39.453 (32.422)
Epoch: [1][1700/5005]	Time 0.053 (0.117)	Data 0.000 (0.067)	Loss 4.9663 (4.8922)	Prec@1 10.547 (15.112)	Prec@5 31.250 (32.471)
Epoch: [1][1800/5005]	Time 0.047 (0.117)	Data 0.001 (0.067)	Loss 4.8051 (4.8885)	Prec@1 17.578 (15.133)	Prec@5 32.422 (32.519)
Epoch: [1][1900/5005]	Time 0.049 (0.118)	Data 0.000 (0.068)	Loss 4.7553 (4.8839)	Prec@1 12.891 (15.154)	Prec@5 28.906 (32.564)
Epoch: [1][2000/5005]	Time 0.052 (0.118)	Data 0.000 (0.067)	Loss 4.7254 (4.8806)	Prec@1 16.797 (15.173)	Prec@5 33.594 (32.598)
Epoch: [1][2100/5005]	Time 0.052 (0.117)	Data 0.000 (0.067)	Loss 4.6348 (4.8760)	Prec@1 20.703 (15.218)	Prec@5 38.672 (32.657)
