Architecture: alexnet
Load dataset: 4.96 s
Compute features
0 / 5005	Time: 36.965 (36.965)
1 / 5005	Time: 0.180 (18.572)
2 / 5005	Time: 0.037 (12.394)
3 / 5005	Time: 0.037 (9.305)
4 / 5005	Time: 0.048 (7.453)
5 / 5005	Time: 0.037 (6.217)
6 / 5005	Time: 0.037 (5.334)
7 / 5005	Time: 0.037 (4.672)
8 / 5005	Time: 0.037 (4.157)
9 / 5005	Time: 0.037 (3.745)
10 / 5005	Time: 0.037 (3.408)
11 / 5005	Time: 0.037 (3.127)
12 / 5005	Time: 0.037 (2.889)
13 / 5005	Time: 0.037 (2.686)
14 / 5005	Time: 0.037 (2.509)
15 / 5005	Time: 0.037 (2.355)
16 / 5005	Time: 0.038 (2.218)
17 / 5005	Time: 0.038 (2.097)
18 / 5005	Time: 0.043 (1.989)
19 / 5005	Time: 0.036 (1.891)
20 / 5005	Time: 0.037 (1.803)
21 / 5005	Time: 0.037 (1.723)
22 / 5005	Time: 0.037 (1.650)
23 / 5005	Time: 0.037 (1.582)
24 / 5005	Time: 0.036 (1.520)
25 / 5005	Time: 0.851 (1.495)
26 / 5005	Time: 0.075 (1.442)
27 / 5005	Time: 0.200 (1.398)
28 / 5005	Time: 0.146 (1.355)
29 / 5005	Time: 0.041 (1.311)
30 / 5005	Time: 0.037 (1.270)
31 / 5005	Time: 0.040 (1.231)
32 / 5005	Time: 0.036 (1.195)
33 / 5005	Time: 0.037 (1.161)
34 / 5005	Time: 0.037 (1.129)
35 / 5005	Time: 0.150 (1.102)
36 / 5005	Time: 0.040 (1.073)
37 / 5005	Time: 0.952 (1.070)
38 / 5005	Time: 0.254 (1.049)
39 / 5005	Time: 0.038 (1.024)
40 / 5005	Time: 0.218 (1.004)
41 / 5005	Time: 0.043 (0.981)
42 / 5005	Time: 0.037 (0.959)
43 / 5005	Time: 0.042 (0.938)
44 / 5005	Time: 0.037 (0.918)
45 / 5005	Time: 0.041 (0.899)
46 / 5005	Time: 0.068 (0.882)
47 / 5005	Time: 0.037 (0.864)
48 / 5005	Time: 0.037 (0.847)
49 / 5005	Time: 1.154 (0.853)
50 / 5005	Time: 0.042 (0.837)
51 / 5005	Time: 0.043 (0.822)
52 / 5005	Time: 0.043 (0.807)
53 / 5005	Time: 0.037 (0.793)
54 / 5005	Time: 0.037 (0.779)
55 / 5005	Time: 0.037 (0.766)
56 / 5005	Time: 0.037 (0.753)
57 / 5005	Time: 0.102 (0.742)
58 / 5005	Time: 0.100 (0.731)
59 / 5005	Time: 0.047 (0.720)
60 / 5005	Time: 0.037 (0.709)
61 / 5005	Time: 1.173 (0.716)
62 / 5005	Time: 0.041 (0.705)
63 / 5005	Time: 0.040 (0.695)
64 / 5005	Time: 0.041 (0.685)
65 / 5005	Time: 0.078 (0.676)
66 / 5005	Time: 0.037 (0.666)
67 / 5005	Time: 0.037 (0.657)
68 / 5005	Time: 0.041 (0.648)
69 / 5005	Time: 0.042 (0.639)
70 / 5005	Time: 0.203 (0.633)
71 / 5005	Time: 0.039 (0.625)
72 / 5005	Time: 0.039 (0.617)
73 / 5005	Time: 1.240 (0.625)
74 / 5005	Time: 0.041 (0.618)
75 / 5005	Time: 0.044 (0.610)
76 / 5005	Time: 0.043 (0.603)
77 / 5005	Time: 0.042 (0.595)
78 / 5005	Time: 0.043 (0.588)
79 / 5005	Time: 0.038 (0.582)
80 / 5005	Time: 0.039 (0.575)
81 / 5005	Time: 0.038 (0.568)
82 / 5005	Time: 0.046 (0.562)
83 / 5005	Time: 0.037 (0.556)
84 / 5005	Time: 0.037 (0.550)
85 / 5005	Time: 1.271 (0.558)
86 / 5005	Time: 0.044 (0.552)
87 / 5005	Time: 0.042 (0.546)
88 / 5005	Time: 0.043 (0.541)
89 / 5005	Time: 0.043 (0.535)
90 / 5005	Time: 0.043 (0.530)
91 / 5005	Time: 0.037 (0.524)
92 / 5005	Time: 0.037 (0.519)
93 / 5005	Time: 0.038 (0.514)
94 / 5005	Time: 0.132 (0.510)
95 / 5005	Time: 0.037 (0.505)
96 / 5005	Time: 0.036 (0.500)
97 / 5005	Time: 1.068 (0.506)
98 / 5005	Time: 0.037 (0.501)
99 / 5005	Time: 0.083 (0.497)
100 / 5005	Time: 0.043 (0.493)
101 / 5005	Time: 0.056 (0.488)
102 / 5005	Time: 0.138 (0.485)
103 / 5005	Time: 0.036 (0.481)
104 / 5005	Time: 0.037 (0.476)
105 / 5005	Time: 0.043 (0.472)
106 / 5005	Time: 0.250 (0.470)
107 / 5005	Time: 0.037 (0.466)
108 / 5005	Time: 0.036 (0.462)
109 / 5005	Time: 0.801 (0.465)
110 / 5005	Time: 0.036 (0.462)
111 / 5005	Time: 0.104 (0.458)
112 / 5005	Time: 0.102 (0.455)
113 / 5005	Time: 0.041 (0.452)
114 / 5005	Time: 0.104 (0.449)
115 / 5005	Time: 0.041 (0.445)
116 / 5005	Time: 0.037 (0.442)
117 / 5005	Time: 0.036 (0.438)
118 / 5005	Time: 0.317 (0.437)
119 / 5005	Time: 0.037 (0.434)
120 / 5005	Time: 0.036 (0.430)
121 / 5005	Time: 0.915 (0.434)
122 / 5005	Time: 0.036 (0.431)
123 / 5005	Time: 0.150 (0.429)
124 / 5005	Time: 0.041 (0.426)
125 / 5005	Time: 0.110 (0.423)
126 / 5005	Time: 0.037 (0.420)
127 / 5005	Time: 0.252 (0.419)
128 / 5005	Time: 0.037 (0.416)
129 / 5005	Time: 0.037 (0.413)
130 / 5005	Time: 0.200 (0.411)
131 / 5005	Time: 0.037 (0.409)
132 / 5005	Time: 0.037 (0.406)
133 / 5005	Time: 0.711 (0.408)
134 / 5005	Time: 0.037 (0.405)
135 / 5005	Time: 0.288 (0.404)
136 / 5005	Time: 0.101 (0.402)
137 / 5005	Time: 0.037 (0.400)
138 / 5005	Time: 0.048 (0.397)
139 / 5005	Time: 0.265 (0.396)
140 / 5005	Time: 0.101 (0.394)
141 / 5005	Time: 0.037 (0.392)
142 / 5005	Time: 0.037 (0.389)
143 / 5005	Time: 0.037 (0.387)
144 / 5005	Time: 0.037 (0.384)
145 / 5005	Time: 0.933 (0.388)
146 / 5005	Time: 0.041 (0.386)
147 / 5005	Time: 0.037 (0.383)
148 / 5005	Time: 0.037 (0.381)
149 / 5005	Time: 0.068 (0.379)
150 / 5005	Time: 0.037 (0.377)
151 / 5005	Time: 0.164 (0.375)
152 / 5005	Time: 0.559 (0.376)
153 / 5005	Time: 0.037 (0.374)
154 / 5005	Time: 0.037 (0.372)
155 / 5005	Time: 0.037 (0.370)
156 / 5005	Time: 0.037 (0.368)
157 / 5005	Time: 0.993 (0.372)
158 / 5005	Time: 0.038 (0.370)
159 / 5005	Time: 0.037 (0.367)
160 / 5005	Time: 0.037 (0.365)
161 / 5005	Time: 0.100 (0.364)
162 / 5005	Time: 0.037 (0.362)
163 / 5005	Time: 0.037 (0.360)
164 / 5005	Time: 0.490 (0.361)
165 / 5005	Time: 0.036 (0.359)
166 / 5005	Time: 0.037 (0.357)
167 / 5005	Time: 0.037 (0.355)
168 / 5005	Time: 0.037 (0.353)
169 / 5005	Time: 1.073 (0.357)
170 / 5005	Time: 0.042 (0.355)
171 / 5005	Time: 0.037 (0.353)
172 / 5005	Time: 0.036 (0.352)
173 / 5005	Time: 0.037 (0.350)
174 / 5005	Time: 0.037 (0.348)
175 / 5005	Time: 0.037 (0.346)
176 / 5005	Time: 0.416 (0.347)
177 / 5005	Time: 0.036 (0.345)
