Architecture: alexnet
Load dataset: 10.11 s
Compute features
0 / 5005	Time: 16.290 (16.290)
1 / 5005	Time: 0.039 (8.165)
2 / 5005	Time: 0.037 (5.455)
3 / 5005	Time: 0.037 (4.101)
4 / 5005	Time: 0.037 (3.288)
5 / 5005	Time: 0.037 (2.746)
6 / 5005	Time: 0.037 (2.359)
7 / 5005	Time: 0.037 (2.069)
8 / 5005	Time: 0.037 (1.843)
9 / 5005	Time: 0.036 (1.663)
10 / 5005	Time: 0.037 (1.515)
11 / 5005	Time: 0.039 (1.392)
12 / 5005	Time: 0.067 (1.290)
13 / 5005	Time: 0.050 (1.201)
14 / 5005	Time: 0.047 (1.124)
15 / 5005	Time: 0.044 (1.057)
16 / 5005	Time: 0.057 (0.998)
17 / 5005	Time: 0.038 (0.945)
18 / 5005	Time: 0.042 (0.897)
19 / 5005	Time: 0.038 (0.854)
20 / 5005	Time: 0.039 (0.815)
21 / 5005	Time: 0.043 (0.780)
22 / 5005	Time: 0.041 (0.748)
23 / 5005	Time: 0.038 (0.719)
24 / 5005	Time: 0.046 (0.692)
25 / 5005	Time: 1.688 (0.730)
26 / 5005	Time: 0.041 (0.704)
27 / 5005	Time: 0.178 (0.686)
28 / 5005	Time: 0.039 (0.663)
29 / 5005	Time: 0.048 (0.643)
30 / 5005	Time: 0.140 (0.627)
31 / 5005	Time: 0.047 (0.608)
32 / 5005	Time: 0.041 (0.591)
33 / 5005	Time: 0.066 (0.576)
34 / 5005	Time: 0.043 (0.561)
35 / 5005	Time: 0.060 (0.547)
36 / 5005	Time: 0.042 (0.533)
37 / 5005	Time: 1.934 (0.570)
38 / 5005	Time: 0.153 (0.559)
39 / 5005	Time: 0.047 (0.546)
40 / 5005	Time: 0.107 (0.536)
41 / 5005	Time: 0.055 (0.524)
42 / 5005	Time: 0.259 (0.518)
43 / 5005	Time: 0.038 (0.507)
44 / 5005	Time: 0.065 (0.497)
45 / 5005	Time: 0.039 (0.487)
46 / 5005	Time: 0.038 (0.478)
47 / 5005	Time: 0.040 (0.469)
48 / 5005	Time: 0.039 (0.460)
49 / 5005	Time: 2.068 (0.492)
50 / 5005	Time: 0.053 (0.483)
51 / 5005	Time: 0.044 (0.475)
52 / 5005	Time: 0.038 (0.467)
53 / 5005	Time: 0.045 (0.459)
54 / 5005	Time: 0.040 (0.451)
55 / 5005	Time: 0.040 (0.444)
56 / 5005	Time: 0.037 (0.437)
57 / 5005	Time: 0.113 (0.431)
58 / 5005	Time: 0.037 (0.425)
59 / 5005	Time: 0.048 (0.418)
60 / 5005	Time: 0.061 (0.412)
61 / 5005	Time: 2.012 (0.438)
62 / 5005	Time: 0.047 (0.432)
63 / 5005	Time: 0.044 (0.426)
64 / 5005	Time: 0.038 (0.420)
65 / 5005	Time: 0.048 (0.414)
66 / 5005	Time: 0.056 (0.409)
67 / 5005	Time: 0.042 (0.404)
68 / 5005	Time: 0.054 (0.399)
69 / 5005	Time: 0.045 (0.394)
70 / 5005	Time: 0.041 (0.389)
71 / 5005	Time: 0.039 (0.384)
72 / 5005	Time: 0.038 (0.379)
73 / 5005	Time: 2.134 (0.403)
74 / 5005	Time: 0.050 (0.398)
75 / 5005	Time: 0.038 (0.393)
76 / 5005	Time: 0.062 (0.389)
77 / 5005	Time: 0.063 (0.385)
78 / 5005	Time: 0.044 (0.380)
79 / 5005	Time: 0.043 (0.376)
80 / 5005	Time: 0.038 (0.372)
81 / 5005	Time: 0.041 (0.368)
82 / 5005	Time: 0.047 (0.364)
83 / 5005	Time: 0.037 (0.360)
84 / 5005	Time: 0.041 (0.356)
85 / 5005	Time: 2.072 (0.376)
86 / 5005	Time: 0.041 (0.373)
87 / 5005	Time: 0.064 (0.369)
88 / 5005	Time: 0.061 (0.366)
89 / 5005	Time: 0.051 (0.362)
90 / 5005	Time: 0.080 (0.359)
91 / 5005	Time: 0.051 (0.356)
92 / 5005	Time: 0.040 (0.352)
93 / 5005	Time: 0.038 (0.349)
94 / 5005	Time: 0.039 (0.346)
95 / 5005	Time: 0.046 (0.343)
96 / 5005	Time: 0.042 (0.339)
97 / 5005	Time: 1.955 (0.356)
98 / 5005	Time: 0.068 (0.353)
99 / 5005	Time: 0.039 (0.350)
100 / 5005	Time: 0.052 (0.347)
101 / 5005	Time: 0.051 (0.344)
102 / 5005	Time: 0.051 (0.341)
103 / 5005	Time: 0.044 (0.338)
104 / 5005	Time: 0.038 (0.335)
105 / 5005	Time: 0.037 (0.333)
106 / 5005	Time: 0.045 (0.330)
107 / 5005	Time: 0.048 (0.327)
108 / 5005	Time: 0.038 (0.325)
109 / 5005	Time: 1.881 (0.339)
110 / 5005	Time: 0.042 (0.336)
111 / 5005	Time: 0.063 (0.334)
112 / 5005	Time: 0.041 (0.331)
113 / 5005	Time: 0.044 (0.329)
114 / 5005	Time: 0.055 (0.326)
115 / 5005	Time: 0.044 (0.324)
116 / 5005	Time: 0.109 (0.322)
117 / 5005	Time: 0.042 (0.320)
118 / 5005	Time: 0.047 (0.317)
119 / 5005	Time: 0.037 (0.315)
