Architecture: alexnet
Load dataset: 4.87 s
Compute features
0 / 5005	Time: 16.678 (16.678)
1 / 5005	Time: 0.038 (8.358)
2 / 5005	Time: 0.036 (5.584)
3 / 5005	Time: 0.036 (4.197)
4 / 5005	Time: 0.036 (3.365)
5 / 5005	Time: 0.035 (2.810)
6 / 5005	Time: 0.035 (2.413)
7 / 5005	Time: 0.037 (2.116)
8 / 5005	Time: 0.034 (1.885)
9 / 5005	Time: 0.034 (1.700)
10 / 5005	Time: 0.039 (1.549)
11 / 5005	Time: 0.051 (1.424)
12 / 5005	Time: 0.058 (1.319)
13 / 5005	Time: 0.037 (1.227)
14 / 5005	Time: 0.064 (1.150)
15 / 5005	Time: 0.040 (1.080)
16 / 5005	Time: 0.053 (1.020)
17 / 5005	Time: 0.036 (0.965)
18 / 5005	Time: 0.043 (0.917)
19 / 5005	Time: 0.042 (0.873)
20 / 5005	Time: 0.051 (0.834)
21 / 5005	Time: 0.045 (0.798)
22 / 5005	Time: 0.038 (0.765)
23 / 5005	Time: 0.052 (0.735)
24 / 5005	Time: 0.036 (0.707)
25 / 5005	Time: 1.688 (0.745)
26 / 5005	Time: 0.042 (0.719)
27 / 5005	Time: 0.301 (0.704)
28 / 5005	Time: 0.053 (0.682)
29 / 5005	Time: 0.051 (0.661)
30 / 5005	Time: 0.043 (0.641)
31 / 5005	Time: 0.048 (0.622)
32 / 5005	Time: 0.038 (0.604)
33 / 5005	Time: 0.040 (0.588)
34 / 5005	Time: 0.040 (0.572)
35 / 5005	Time: 0.044 (0.558)
36 / 5005	Time: 0.061 (0.544)
37 / 5005	Time: 1.917 (0.580)
38 / 5005	Time: 0.119 (0.568)
39 / 5005	Time: 0.161 (0.558)
40 / 5005	Time: 0.115 (0.547)
41 / 5005	Time: 0.047 (0.535)
42 / 5005	Time: 0.185 (0.527)
43 / 5005	Time: 0.040 (0.516)
44 / 5005	Time: 0.038 (0.506)
45 / 5005	Time: 0.038 (0.495)
46 / 5005	Time: 0.039 (0.486)
47 / 5005	Time: 0.044 (0.477)
48 / 5005	Time: 0.041 (0.468)
49 / 5005	Time: 2.172 (0.502)
50 / 5005	Time: 0.057 (0.493)
51 / 5005	Time: 0.041 (0.484)
52 / 5005	Time: 0.039 (0.476)
53 / 5005	Time: 0.039 (0.468)
54 / 5005	Time: 0.043 (0.460)
55 / 5005	Time: 0.038 (0.453)
56 / 5005	Time: 0.047 (0.445)
57 / 5005	Time: 0.046 (0.439)
58 / 5005	Time: 0.038 (0.432)
59 / 5005	Time: 0.044 (0.425)
60 / 5005	Time: 0.046 (0.419)
61 / 5005	Time: 2.043 (0.445)
62 / 5005	Time: 0.057 (0.439)
63 / 5005	Time: 0.051 (0.433)
64 / 5005	Time: 0.037 (0.427)
65 / 5005	Time: 0.044 (0.421)
66 / 5005	Time: 0.040 (0.416)
67 / 5005	Time: 0.037 (0.410)
68 / 5005	Time: 0.039 (0.405)
69 / 5005	Time: 0.038 (0.399)
70 / 5005	Time: 0.045 (0.394)
71 / 5005	Time: 0.043 (0.389)
72 / 5005	Time: 0.054 (0.385)
73 / 5005	Time: 2.203 (0.409)
74 / 5005	Time: 0.046 (0.405)
75 / 5005	Time: 0.050 (0.400)
76 / 5005	Time: 0.039 (0.395)
77 / 5005	Time: 0.039 (0.391)
78 / 5005	Time: 0.038 (0.386)
79 / 5005	Time: 0.046 (0.382)
80 / 5005	Time: 0.047 (0.378)
81 / 5005	Time: 0.048 (0.374)
82 / 5005	Time: 0.038 (0.370)
83 / 5005	Time: 0.045 (0.366)
84 / 5005	Time: 0.043 (0.362)
85 / 5005	Time: 2.057 (0.382)
86 / 5005	Time: 0.051 (0.378)
87 / 5005	Time: 0.046 (0.374)
88 / 5005	Time: 0.040 (0.370)
89 / 5005	Time: 0.043 (0.367)
90 / 5005	Time: 0.040 (0.363)
91 / 5005	Time: 0.044 (0.360)
92 / 5005	Time: 0.042 (0.356)
93 / 5005	Time: 0.052 (0.353)
94 / 5005	Time: 0.042 (0.350)
95 / 5005	Time: 0.041 (0.347)
96 / 5005	Time: 0.038 (0.343)
97 / 5005	Time: 1.980 (0.360)
98 / 5005	Time: 0.048 (0.357)
99 / 5005	Time: 0.157 (0.355)
100 / 5005	Time: 0.052 (0.352)
101 / 5005	Time: 0.040 (0.349)
102 / 5005	Time: 0.044 (0.346)
103 / 5005	Time: 0.038 (0.343)
104 / 5005	Time: 0.046 (0.340)
105 / 5005	Time: 0.040 (0.337)
106 / 5005	Time: 0.054 (0.335)
107 / 5005	Time: 0.046 (0.332)
108 / 5005	Time: 0.040 (0.329)
109 / 5005	Time: 1.704 (0.342)
110 / 5005	Time: 0.099 (0.340)
111 / 5005	Time: 0.065 (0.337)
112 / 5005	Time: 0.061 (0.335)
113 / 5005	Time: 0.041 (0.332)
114 / 5005	Time: 0.053 (0.330)
115 / 5005	Time: 0.049 (0.327)
116 / 5005	Time: 0.046 (0.325)
117 / 5005	Time: 0.039 (0.322)
118 / 5005	Time: 0.042 (0.320)
119 / 5005	Time: 0.043 (0.318)
120 / 5005	Time: 0.042 (0.316)
121 / 5005	Time: 2.020 (0.329)
122 / 5005	Time: 0.076 (0.327)
123 / 5005	Time: 0.044 (0.325)
124 / 5005	Time: 0.048 (0.323)
125 / 5005	Time: 0.155 (0.322)
126 / 5005	Time: 0.044 (0.319)
127 / 5005	Time: 0.225 (0.319)
128 / 5005	Time: 0.455 (0.320)
129 / 5005	Time: 0.038 (0.318)
130 / 5005	Time: 0.038 (0.315)
131 / 5005	Time: 0.052 (0.313)
132 / 5005	Time: 0.038 (0.311)
133 / 5005	Time: 1.191 (0.318)
134 / 5005	Time: 0.257 (0.317)
135 / 5005	Time: 0.212 (0.317)
136 / 5005	Time: 0.071 (0.315)
137 / 5005	Time: 0.051 (0.313)
138 / 5005	Time: 0.043 (0.311)
139 / 5005	Time: 0.223 (0.310)
140 / 5005	Time: 0.607 (0.313)
141 / 5005	Time: 0.042 (0.311)
142 / 5005	Time: 0.044 (0.309)
143 / 5005	Time: 0.046 (0.307)
144 / 5005	Time: 0.042 (0.305)
145 / 5005	Time: 1.024 (0.310)
146 / 5005	Time: 0.122 (0.309)
147 / 5005	Time: 0.039 (0.307)
148 / 5005	Time: 0.050 (0.305)
149 / 5005	Time: 0.418 (0.306)
150 / 5005	Time: 0.045 (0.304)
151 / 5005	Time: 0.051 (0.303)
152 / 5005	Time: 1.035 (0.307)
153 / 5005	Time: 0.066 (0.306)
154 / 5005	Time: 0.045 (0.304)
155 / 5005	Time: 0.048 (0.302)
156 / 5005	Time: 0.047 (0.301)
157 / 5005	Time: 1.069 (0.306)
158 / 5005	Time: 0.057 (0.304)
159 / 5005	Time: 0.051 (0.303)
160 / 5005	Time: 0.055 (0.301)
161 / 5005	Time: 0.639 (0.303)
162 / 5005	Time: 0.038 (0.301)
163 / 5005	Time: 0.043 (0.300)
164 / 5005	Time: 0.769 (0.303)
165 / 5005	Time: 0.043 (0.301)
166 / 5005	Time: 0.047 (0.300)
167 / 5005	Time: 0.048 (0.298)
168 / 5005	Time: 0.052 (0.297)
169 / 5005	Time: 1.108 (0.301)
170 / 5005	Time: 0.065 (0.300)
171 / 5005	Time: 0.042 (0.299)
172 / 5005	Time: 0.039 (0.297)
173 / 5005	Time: 0.480 (0.298)
174 / 5005	Time: 0.040 (0.297)
175 / 5005	Time: 0.041 (0.295)
176 / 5005	Time: 0.720 (0.298)
177 / 5005	Time: 0.043 (0.296)
178 / 5005	Time: 0.041 (0.295)
179 / 5005	Time: 0.037 (0.293)
180 / 5005	Time: 0.051 (0.292)
181 / 5005	Time: 1.158 (0.297)
182 / 5005	Time: 0.044 (0.295)
183 / 5005	Time: 0.056 (0.294)
184 / 5005	Time: 0.042 (0.293)
185 / 5005	Time: 0.896 (0.296)
186 / 5005	Time: 0.044 (0.295)
187 / 5005	Time: 0.044 (0.293)
188 / 5005	Time: 1.684 (0.301)
189 / 5005	Time: 0.041 (0.299)
190 / 5005	Time: 0.039 (0.298)
191 / 5005	Time: 0.038 (0.297)
192 / 5005	Time: 0.044 (0.295)
193 / 5005	Time: 0.043 (0.294)
194 / 5005	Time: 0.041 (0.293)
195 / 5005	Time: 0.049 (0.291)
196 / 5005	Time: 0.047 (0.290)
197 / 5005	Time: 0.573 (0.292)
198 / 5005	Time: 0.047 (0.290)
199 / 5005	Time: 0.044 (0.289)
200 / 5005	Time: 1.966 (0.297)
201 / 5005	Time: 0.044 (0.296)
202 / 5005	Time: 0.041 (0.295)
203 / 5005	Time: 0.050 (0.294)
204 / 5005	Time: 0.040 (0.293)
205 / 5005	Time: 0.046 (0.291)
206 / 5005	Time: 0.037 (0.290)
207 / 5005	Time: 0.050 (0.289)
208 / 5005	Time: 0.060 (0.288)
209 / 5005	Time: 0.688 (0.290)
210 / 5005	Time: 0.048 (0.289)
211 / 5005	Time: 0.054 (0.287)
212 / 5005	Time: 1.775 (0.294)
213 / 5005	Time: 0.039 (0.293)
214 / 5005	Time: 0.040 (0.292)
215 / 5005	Time: 0.038 (0.291)
216 / 5005	Time: 0.045 (0.290)
217 / 5005	Time: 0.046 (0.289)
218 / 5005	Time: 0.066 (0.288)
219 / 5005	Time: 0.042 (0.287)
220 / 5005	Time: 0.047 (0.285)
221 / 5005	Time: 0.252 (0.285)
222 / 5005	Time: 0.038 (0.284)
223 / 5005	Time: 0.050 (0.283)
224 / 5005	Time: 2.154 (0.291)
225 / 5005	Time: 0.041 (0.290)
226 / 5005	Time: 0.039 (0.289)
227 / 5005	Time: 0.042 (0.288)
228 / 5005	Time: 0.042 (0.287)
229 / 5005	Time: 0.058 (0.286)
230 / 5005	Time: 0.053 (0.285)
231 / 5005	Time: 0.058 (0.284)
232 / 5005	Time: 0.061 (0.283)
233 / 5005	Time: 0.040 (0.282)
234 / 5005	Time: 0.043 (0.281)
235 / 5005	Time: 0.050 (0.280)
236 / 5005	Time: 2.120 (0.288)
237 / 5005	Time: 0.048 (0.287)
238 / 5005	Time: 0.044 (0.286)
239 / 5005	Time: 0.047 (0.285)
240 / 5005	Time: 0.046 (0.284)
241 / 5005	Time: 0.058 (0.283)
242 / 5005	Time: 0.052 (0.282)
243 / 5005	Time: 0.045 (0.281)
244 / 5005	Time: 0.042 (0.280)
245 / 5005	Time: 0.042 (0.279)
246 / 5005	Time: 0.040 (0.278)
247 / 5005	Time: 0.041 (0.277)
248 / 5005	Time: 2.293 (0.285)
249 / 5005	Time: 0.055 (0.284)
250 / 5005	Time: 0.077 (0.283)
251 / 5005	Time: 0.050 (0.283)
252 / 5005	Time: 0.061 (0.282)
253 / 5005	Time: 0.040 (0.281)
254 / 5005	Time: 0.045 (0.280)
255 / 5005	Time: 0.039 (0.279)
256 / 5005	Time: 0.046 (0.278)
257 / 5005	Time: 0.072 (0.277)
258 / 5005	Time: 0.059 (0.276)
259 / 5005	Time: 0.044 (0.275)
260 / 5005	Time: 2.387 (0.284)
261 / 5005	Time: 0.052 (0.283)
262 / 5005	Time: 0.049 (0.282)
263 / 5005	Time: 0.054 (0.281)
264 / 5005	Time: 0.039 (0.280)
265 / 5005	Time: 0.205 (0.280)
266 / 5005	Time: 0.046 (0.279)
267 / 5005	Time: 0.080 (0.278)
268 / 5005	Time: 0.075 (0.277)
269 / 5005	Time: 0.316 (0.277)
270 / 5005	Time: 0.038 (0.277)
271 / 5005	Time: 0.037 (0.276)
272 / 5005	Time: 2.488 (0.284)
273 / 5005	Time: 0.037 (0.283)
274 / 5005	Time: 0.038 (0.282)
275 / 5005	Time: 0.046 (0.281)
276 / 5005	Time: 0.044 (0.280)
277 / 5005	Time: 0.194 (0.280)
278 / 5005	Time: 0.039 (0.279)
279 / 5005	Time: 0.041 (0.278)
280 / 5005	Time: 0.042 (0.277)
281 / 5005	Time: 0.037 (0.277)
282 / 5005	Time: 0.037 (0.276)
283 / 5005	Time: 0.054 (0.275)
284 / 5005	Time: 2.269 (0.282)
285 / 5005	Time: 0.043 (0.281)
286 / 5005	Time: 0.040 (0.280)
287 / 5005	Time: 0.038 (0.279)
288 / 5005	Time: 0.038 (0.279)
289 / 5005	Time: 0.150 (0.278)
290 / 5005	Time: 0.037 (0.277)
291 / 5005	Time: 0.041 (0.277)
292 / 5005	Time: 0.039 (0.276)
293 / 5005	Time: 0.037 (0.275)
294 / 5005	Time: 0.043 (0.274)
295 / 5005	Time: 0.050 (0.273)
296 / 5005	Time: 2.193 (0.280)
297 / 5005	Time: 0.055 (0.279)
298 / 5005	Time: 0.048 (0.278)
299 / 5005	Time: 0.043 (0.278)
300 / 5005	Time: 0.053 (0.277)
301 / 5005	Time: 0.038 (0.276)
302 / 5005	Time: 0.047 (0.275)
303 / 5005	Time: 0.049 (0.274)
304 / 5005	Time: 0.067 (0.274)
305 / 5005	Time: 0.038 (0.273)
306 / 5005	Time: 0.048 (0.272)
307 / 5005	Time: 0.040 (0.272)
308 / 5005	Time: 2.254 (0.278)
309 / 5005	Time: 0.038 (0.277)
310 / 5005	Time: 0.049 (0.276)
311 / 5005	Time: 0.037 (0.276)
312 / 5005	Time: 0.040 (0.275)
313 / 5005	Time: 0.042 (0.274)
314 / 5005	Time: 0.041 (0.273)
315 / 5005	Time: 0.040 (0.273)
316 / 5005	Time: 0.043 (0.272)
317 / 5005	Time: 0.040 (0.271)
318 / 5005	Time: 0.048 (0.271)
319 / 5005	Time: 0.044 (0.270)
320 / 5005	Time: 1.840 (0.275)
321 / 5005	Time: 0.049 (0.274)
322 / 5005	Time: 0.055 (0.273)
323 / 5005	Time: 0.050 (0.273)
324 / 5005	Time: 0.038 (0.272)
325 / 5005	Time: 0.306 (0.272)
326 / 5005	Time: 0.042 (0.271)
327 / 5005	Time: 0.076 (0.271)
328 / 5005	Time: 0.041 (0.270)
329 / 5005	Time: 0.039 (0.269)
330 / 5005	Time: 0.053 (0.269)
