=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_1/checkpoint_dc1_epoch420.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 3.968 (3.968)	Data 3.186 (3.186)	Loss 6.9061 (6.9061)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][100/5005]	Time 0.045 (0.207)	Data 0.000 (0.155)	Loss 6.8955 (6.9022)	Prec@1 0.781 (0.317)	Prec@5 1.562 (1.153)
Epoch: [0][200/5005]	Time 0.050 (0.194)	Data 0.000 (0.145)	Loss 6.8842 (6.8956)	Prec@1 0.781 (0.618)	Prec@5 5.469 (2.167)
Epoch: [0][300/5005]	Time 1.441 (0.190)	Data 1.397 (0.141)	Loss 6.8643 (6.8890)	Prec@1 1.172 (0.869)	Prec@5 6.641 (3.016)
Epoch: [0][400/5005]	Time 0.045 (0.185)	Data 0.000 (0.137)	Loss 6.8635 (6.8824)	Prec@1 1.562 (1.044)	Prec@5 3.516 (3.569)
Epoch: [0][500/5005]	Time 0.045 (0.183)	Data 0.000 (0.135)	Loss 6.8343 (6.8758)	Prec@1 2.344 (1.184)	Prec@5 8.594 (3.993)
Epoch: [0][600/5005]	Time 0.944 (0.183)	Data 0.899 (0.136)	Loss 6.8266 (6.8694)	Prec@1 1.562 (1.280)	Prec@5 7.422 (4.320)
Epoch: [0][700/5005]	Time 0.045 (0.180)	Data 0.000 (0.133)	Loss 6.8089 (6.8632)	Prec@1 2.734 (1.333)	Prec@5 10.156 (4.575)
Epoch: [0][800/5005]	Time 0.050 (0.180)	Data 0.000 (0.134)	Loss 6.8116 (6.8567)	Prec@1 1.172 (1.421)	Prec@5 6.250 (4.842)
Epoch: [0][900/5005]	Time 0.403 (0.180)	Data 0.359 (0.133)	Loss 6.7992 (6.8503)	Prec@1 1.172 (1.479)	Prec@5 5.078 (5.076)
Epoch: [0][1000/5005]	Time 0.045 (0.179)	Data 0.000 (0.132)	Loss 6.7855 (6.8441)	Prec@1 3.125 (1.542)	Prec@5 7.031 (5.260)
Epoch: [0][1100/5005]	Time 0.049 (0.179)	Data 0.000 (0.133)	Loss 6.7690 (6.8379)	Prec@1 3.906 (1.597)	Prec@5 8.984 (5.436)
Epoch: [0][1200/5005]	Time 0.045 (0.178)	Data 0.000 (0.132)	Loss 6.7922 (6.8318)	Prec@1 0.781 (1.647)	Prec@5 5.078 (5.617)
Epoch: [0][1300/5005]	Time 0.050 (0.178)	Data 0.005 (0.131)	Loss 6.7349 (6.8258)	Prec@1 3.125 (1.686)	Prec@5 9.375 (5.752)
Epoch: [0][1400/5005]	Time 0.048 (0.178)	Data 0.000 (0.132)	Loss 6.7317 (6.8198)	Prec@1 1.562 (1.731)	Prec@5 9.375 (5.902)
Epoch: [0][1500/5005]	Time 0.050 (0.178)	Data 0.000 (0.132)	Loss 6.7326 (6.8138)	Prec@1 2.344 (1.767)	Prec@5 7.031 (6.027)
Epoch: [0][1600/5005]	Time 0.045 (0.178)	Data 0.000 (0.131)	Loss 6.6933 (6.8081)	Prec@1 2.344 (1.799)	Prec@5 8.984 (6.143)
Epoch: [0][1700/5005]	Time 0.646 (0.178)	Data 0.602 (0.132)	Loss 6.7308 (6.8022)	Prec@1 1.172 (1.831)	Prec@5 4.297 (6.253)
Epoch: [0][1800/5005]	Time 0.045 (0.177)	Data 0.000 (0.131)	Loss 6.7002 (6.7964)	Prec@1 2.344 (1.872)	Prec@5 7.812 (6.367)
Epoch: [0][1900/5005]	Time 0.871 (0.178)	Data 0.825 (0.132)	Loss 6.6913 (6.7907)	Prec@1 1.953 (1.906)	Prec@5 7.422 (6.460)
Epoch: [0][2000/5005]	Time 0.052 (0.178)	Data 0.000 (0.132)	Loss 6.6709 (6.7850)	Prec@1 2.344 (1.939)	Prec@5 8.984 (6.565)
Epoch: [0][2100/5005]	Time 0.045 (0.178)	Data 0.000 (0.132)	Loss 6.6687 (6.7793)	Prec@1 2.344 (1.974)	Prec@5 7.422 (6.664)
Epoch: [0][2200/5005]	Time 1.007 (0.178)	Data 0.963 (0.132)	Loss 6.6107 (6.7737)	Prec@1 4.297 (2.007)	Prec@5 11.328 (6.754)
Epoch: [0][2300/5005]	Time 1.037 (0.178)	Data 0.992 (0.132)	Loss 6.6251 (6.7681)	Prec@1 2.344 (2.044)	Prec@5 6.250 (6.845)
Epoch: [0][2400/5005]	Time 0.045 (0.178)	Data 0.000 (0.132)	Loss 6.5968 (6.7625)	Prec@1 2.344 (2.079)	Prec@5 12.500 (6.943)
Epoch: [0][2500/5005]	Time 0.496 (0.178)	Data 0.452 (0.132)	Loss 6.6322 (6.7570)	Prec@1 2.734 (2.105)	Prec@5 8.594 (7.018)
Epoch: [0][2600/5005]	Time 1.707 (0.178)	Data 1.662 (0.132)	Loss 6.6330 (6.7516)	Prec@1 3.516 (2.136)	Prec@5 8.594 (7.104)
Epoch: [0][2700/5005]	Time 0.050 (0.178)	Data 0.000 (0.132)	Loss 6.5777 (6.7463)	Prec@1 1.562 (2.162)	Prec@5 12.109 (7.177)
Epoch: [0][2800/5005]	Time 0.756 (0.178)	Data 0.713 (0.132)	Loss 6.5912 (6.7411)	Prec@1 1.953 (2.188)	Prec@5 8.594 (7.255)
