=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_2/checkpoint_dc2_epoch49.pth.tar'
Loaded
Epoch: [0][3500/5005]	Time 0.054 (0.150)	Data 0.000 (0.101)	Loss 6.5128 (6.6639)	Prec@1 2.734 (2.285)	Prec@5 8.984 (7.311)
Epoch: [0][3600/5005]	Time 0.044 (0.149)	Data 0.000 (0.101)	Loss 6.4531 (6.6583)	Prec@1 3.125 (2.306)	Prec@5 9.375 (7.381)
Epoch: [0][3700/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.4225 (6.6529)	Prec@1 1.562 (2.326)	Prec@5 8.984 (7.447)
Epoch: [0][3800/5005]	Time 0.050 (0.149)	Data 0.000 (0.101)	Loss 6.4498 (6.6475)	Prec@1 2.734 (2.351)	Prec@5 10.547 (7.514)
Epoch: [0][3900/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.4576 (6.6420)	Prec@1 4.297 (2.374)	Prec@5 11.719 (7.581)
Epoch: [0][4000/5005]	Time 1.773 (0.150)	Data 1.726 (0.101)	Loss 6.3775 (6.6366)	Prec@1 2.734 (2.403)	Prec@5 13.281 (7.650)
Epoch: [0][4100/5005]	Time 0.052 (0.150)	Data 0.000 (0.101)	Loss 6.4338 (6.6313)	Prec@1 2.734 (2.427)	Prec@5 8.984 (7.718)
Epoch: [0][4200/5005]	Time 0.048 (0.150)	Data 0.000 (0.101)	Loss 6.3861 (6.6261)	Prec@1 3.516 (2.445)	Prec@5 11.719 (7.780)
Epoch: [0][4300/5005]	Time 0.112 (0.149)	Data 0.064 (0.101)	Loss 6.4146 (6.6208)	Prec@1 2.734 (2.473)	Prec@5 9.766 (7.852)
Epoch: [0][4400/5005]	Time 0.047 (0.150)	Data 0.000 (0.101)	Loss 6.3554 (6.6155)	Prec@1 5.078 (2.497)	Prec@5 13.281 (7.919)
Epoch: [0][4500/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.3869 (6.6107)	Prec@1 2.344 (2.514)	Prec@5 8.984 (7.974)
Epoch: [0][4600/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.4583 (6.6056)	Prec@1 1.562 (2.536)	Prec@5 8.203 (8.037)
Epoch: [0][4700/5005]	Time 0.051 (0.149)	Data 0.001 (0.101)	Loss 6.3591 (6.6007)	Prec@1 2.734 (2.555)	Prec@5 10.156 (8.091)
Epoch: [0][4800/5005]	Time 0.049 (0.150)	Data 0.001 (0.101)	Loss 6.4454 (6.5959)	Prec@1 2.344 (2.575)	Prec@5 6.641 (8.153)
Epoch: [0][4900/5005]	Time 0.434 (0.149)	Data 0.380 (0.101)	Loss 6.4050 (6.5911)	Prec@1 6.641 (2.593)	Prec@5 12.891 (8.209)
Epoch: [0][5000/5005]	Time 0.044 (0.149)	Data 0.000 (0.101)	Loss 6.3845 (6.5864)	Prec@1 3.516 (2.613)	Prec@5 10.547 (8.264)
Validation: [0/391]	Time 6.569 (6.569)	Loss 6.4318 (6.4318)	Prec@1 1.562 (1.562)	Prec@5 10.156 (10.156)
Validation: [100/391]	Time 0.368 (0.441)	Loss 6.2037 (6.2792)	Prec@1 0.000 (2.475)	Prec@5 2.344 (9.236)
Validation: [200/391]	Time 0.419 (0.408)	Loss 6.4596 (6.3063)	Prec@1 2.344 (2.697)	Prec@5 14.844 (9.787)
Validation: [300/391]	Time 0.372 (0.396)	Loss 6.3336 (6.3499)	Prec@1 15.625 (3.070)	Prec@5 21.875 (9.853)
Epoch: [1][0/5005]	Time 3.721 (3.721)	Data 3.668 (3.668)	Loss 6.2736 (6.2736)	Prec@1 4.688 (4.688)	Prec@5 11.719 (11.719)
Epoch: [1][100/5005]	Time 0.045 (0.177)	Data 0.000 (0.130)	Loss 6.3964 (6.3349)	Prec@1 5.859 (3.782)	Prec@5 11.719 (11.494)
Epoch: [1][200/5005]	Time 0.050 (0.166)	Data 0.001 (0.118)	Loss 6.3667 (6.3306)	Prec@1 5.469 (3.792)	Prec@5 10.547 (11.581)
Epoch: [1][300/5005]	Time 0.045 (0.159)	Data 0.000 (0.112)	Loss 6.3018 (6.3287)	Prec@1 3.125 (3.721)	Prec@5 13.672 (11.559)
Epoch: [1][400/5005]	Time 0.844 (0.160)	Data 0.796 (0.112)	Loss 6.2675 (6.3259)	Prec@1 3.906 (3.795)	Prec@5 11.328 (11.591)
Epoch: [1][500/5005]	Time 0.045 (0.155)	Data 0.000 (0.108)	Loss 6.3457 (6.3219)	Prec@1 4.297 (3.795)	Prec@5 12.109 (11.637)
Epoch: [1][600/5005]	Time 0.052 (0.156)	Data 0.000 (0.108)	Loss 6.2795 (6.3197)	Prec@1 6.250 (3.814)	Prec@5 12.891 (11.624)
Epoch: [1][700/5005]	Time 0.061 (0.154)	Data 0.000 (0.105)	Loss 6.3116 (6.3170)	Prec@1 4.297 (3.843)	Prec@5 11.328 (11.670)
Epoch: [1][800/5005]	Time 0.045 (0.153)	Data 0.000 (0.105)	Loss 6.2723 (6.3143)	Prec@1 5.078 (3.847)	Prec@5 13.672 (11.665)
Epoch: [1][900/5005]	Time 0.045 (0.152)	Data 0.000 (0.103)	Loss 6.3412 (6.3112)	Prec@1 3.906 (3.850)	Prec@5 11.719 (11.680)
Epoch: [1][1000/5005]	Time 0.076 (0.152)	Data 0.032 (0.104)	Loss 6.2224 (6.3077)	Prec@1 4.688 (3.849)	Prec@5 14.453 (11.714)
Epoch: [1][1100/5005]	Time 0.061 (0.152)	Data 0.001 (0.104)	Loss 6.3076 (6.3044)	Prec@1 5.078 (3.870)	Prec@5 10.938 (11.750)
Epoch: [1][1200/5005]	Time 0.076 (0.151)	Data 0.015 (0.103)	Loss 6.3047 (6.3011)	Prec@1 2.344 (3.897)	Prec@5 10.547 (11.794)
Epoch: [1][1300/5005]	Time 0.112 (0.151)	Data 0.067 (0.103)	Loss 6.1941 (6.2973)	Prec@1 5.859 (3.919)	Prec@5 14.062 (11.821)
Epoch: [1][1400/5005]	Time 0.047 (0.151)	Data 0.000 (0.103)	Loss 6.3197 (6.2935)	Prec@1 2.734 (3.945)	Prec@5 13.672 (11.850)
Epoch: [1][1500/5005]	Time 0.045 (0.151)	Data 0.000 (0.102)	Loss 6.3086 (6.2900)	Prec@1 2.344 (3.964)	Prec@5 9.375 (11.907)
Epoch: [1][1600/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 6.1521 (6.2868)	Prec@1 6.641 (3.981)	Prec@5 16.406 (11.966)
Epoch: [1][1700/5005]	Time 0.052 (0.151)	Data 0.000 (0.103)	Loss 6.2264 (6.2834)	Prec@1 3.516 (4.004)	Prec@5 11.719 (11.999)
Epoch: [1][1800/5005]	Time 1.504 (0.151)	Data 1.460 (0.103)	Loss 6.2156 (6.2805)	Prec@1 3.906 (4.025)	Prec@5 14.453 (12.039)
Epoch: [1][1900/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 6.2561 (6.2774)	Prec@1 2.734 (4.052)	Prec@5 10.547 (12.083)
Epoch: [1][2000/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 6.2052 (6.2744)	Prec@1 4.688 (4.065)	Prec@5 14.062 (12.104)
Epoch: [1][2100/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 6.1702 (6.2712)	Prec@1 4.297 (4.081)	Prec@5 12.500 (12.143)
Epoch: [1][2200/5005]	Time 0.541 (0.150)	Data 0.496 (0.102)	Loss 6.1028 (6.2679)	Prec@1 6.641 (4.107)	Prec@5 16.797 (12.188)
Epoch: [1][2300/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.2620 (6.2650)	Prec@1 3.125 (4.133)	Prec@5 10.547 (12.223)
Epoch: [1][2400/5005]	Time 0.052 (0.150)	Data 0.000 (0.102)	Loss 6.1893 (6.2622)	Prec@1 4.297 (4.147)	Prec@5 10.938 (12.259)
Epoch: [1][2500/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.1135 (6.2595)	Prec@1 4.297 (4.168)	Prec@5 12.891 (12.285)
Epoch: [1][2600/5005]	Time 0.051 (0.150)	Data 0.000 (0.102)	Loss 6.1928 (6.2566)	Prec@1 5.078 (4.181)	Prec@5 12.500 (12.322)
Epoch: [1][2700/5005]	Time 0.495 (0.150)	Data 0.450 (0.101)	Loss 6.1782 (6.2535)	Prec@1 6.641 (4.201)	Prec@5 12.891 (12.361)
Epoch: [1][2800/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.1551 (6.2505)	Prec@1 4.297 (4.225)	Prec@5 13.672 (12.393)
Epoch: [1][2900/5005]	Time 0.048 (0.150)	Data 0.001 (0.101)	Loss 6.2028 (6.2478)	Prec@1 5.078 (4.239)	Prec@5 11.719 (12.423)
Epoch: [1][3000/5005]	Time 0.049 (0.150)	Data 0.000 (0.101)	Loss 6.1170 (6.2451)	Prec@1 5.469 (4.250)	Prec@5 16.406 (12.446)
Epoch: [1][3100/5005]	Time 0.923 (0.150)	Data 0.879 (0.101)	Loss 6.1522 (6.2421)	Prec@1 5.469 (4.272)	Prec@5 12.891 (12.478)
Epoch: [1][3200/5005]	Time 0.045 (0.149)	Data 0.001 (0.101)	Loss 6.1102 (6.2398)	Prec@1 8.594 (4.287)	Prec@5 16.016 (12.506)
Epoch: [1][3300/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.0655 (6.2373)	Prec@1 7.812 (4.306)	Prec@5 16.797 (12.539)
Epoch: [1][3400/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.1391 (6.2347)	Prec@1 3.906 (4.318)	Prec@5 13.672 (12.567)
Epoch: [1][3500/5005]	Time 0.051 (0.149)	Data 0.000 (0.101)	Loss 6.1379 (6.2320)	Prec@1 5.078 (4.335)	Prec@5 12.891 (12.601)
Epoch: [1][3600/5005]	Time 0.675 (0.149)	Data 0.630 (0.101)	Loss 6.0765 (6.2292)	Prec@1 5.078 (4.357)	Prec@5 12.109 (12.644)
Epoch: [1][3700/5005]	Time 0.047 (0.149)	Data 0.000 (0.101)	Loss 6.0338 (6.2263)	Prec@1 7.031 (4.372)	Prec@5 17.578 (12.670)
Epoch: [1][3800/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.0951 (6.2239)	Prec@1 5.859 (4.387)	Prec@5 15.625 (12.698)
Epoch: [1][3900/5005]	Time 0.059 (0.149)	Data 0.001 (0.101)	Loss 6.1253 (6.2211)	Prec@1 8.203 (4.405)	Prec@5 14.453 (12.724)
Epoch: [1][4000/5005]	Time 0.044 (0.149)	Data 0.000 (0.101)	Loss 6.1883 (6.2184)	Prec@1 3.516 (4.420)	Prec@5 12.500 (12.750)
Epoch: [1][4100/5005]	Time 0.048 (0.149)	Data 0.000 (0.101)	Loss 6.0598 (6.2157)	Prec@1 4.297 (4.430)	Prec@5 14.062 (12.780)
Epoch: [1][4200/5005]	Time 0.049 (0.149)	Data 0.000 (0.101)	Loss 6.0843 (6.2131)	Prec@1 4.297 (4.443)	Prec@5 13.672 (12.810)
Epoch: [1][4300/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.0074 (6.2104)	Prec@1 4.297 (4.455)	Prec@5 14.844 (12.841)
Epoch: [1][4400/5005]	Time 0.056 (0.149)	Data 0.000 (0.101)	Loss 6.1310 (6.2078)	Prec@1 7.422 (4.471)	Prec@5 17.969 (12.871)
Epoch: [1][4500/5005]	Time 1.129 (0.149)	Data 1.085 (0.101)	Loss 6.1824 (6.2054)	Prec@1 3.906 (4.482)	Prec@5 12.109 (12.900)
Epoch: [1][4600/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.1272 (6.2030)	Prec@1 4.297 (4.497)	Prec@5 11.328 (12.931)
Epoch: [1][4700/5005]	Time 0.046 (0.149)	Data 0.000 (0.101)	Loss 6.1517 (6.2005)	Prec@1 6.641 (4.510)	Prec@5 12.500 (12.956)
Epoch: [1][4800/5005]	Time 0.051 (0.149)	Data 0.000 (0.101)	Loss 6.1082 (6.1980)	Prec@1 4.297 (4.521)	Prec@5 13.672 (12.990)
Epoch: [1][4900/5005]	Time 0.062 (0.149)	Data 0.000 (0.101)	Loss 6.0128 (6.1956)	Prec@1 5.859 (4.529)	Prec@5 16.797 (13.018)
Epoch: [1][5000/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.0215 (6.1930)	Prec@1 6.250 (4.544)	Prec@5 15.234 (13.051)
Validation: [0/391]	Time 4.751 (4.751)	Loss 5.9984 (5.9984)	Prec@1 7.031 (7.031)	Prec@5 24.219 (24.219)
Validation: [100/391]	Time 0.372 (0.430)	Loss 5.8186 (6.0230)	Prec@1 0.781 (3.775)	Prec@5 16.406 (12.508)
Validation: [200/391]	Time 0.372 (0.402)	Loss 6.2401 (6.0471)	Prec@1 3.906 (4.124)	Prec@5 16.406 (12.966)
Validation: [300/391]	Time 0.372 (0.393)	Loss 6.0840 (6.0889)	Prec@1 14.062 (4.425)	Prec@5 20.312 (12.944)
Epoch: [2][0/5005]	Time 3.296 (3.296)	Data 3.248 (3.248)	Loss 6.0731 (6.0731)	Prec@1 4.297 (4.297)	Prec@5 15.234 (15.234)
Epoch: [2][100/5005]	Time 0.045 (0.174)	Data 0.000 (0.127)	Loss 6.0917 (6.0629)	Prec@1 6.641 (5.689)	Prec@5 13.281 (14.848)
Epoch: [2][200/5005]	Time 0.048 (0.166)	Data 0.000 (0.119)	Loss 5.9633 (6.0548)	Prec@1 5.078 (5.570)	Prec@5 14.062 (14.768)
Epoch: [2][300/5005]	Time 0.047 (0.158)	Data 0.000 (0.110)	Loss 6.0071 (6.0526)	Prec@1 4.297 (5.544)	Prec@5 13.672 (14.794)
Epoch: [2][400/5005]	Time 0.045 (0.158)	Data 0.000 (0.111)	Loss 6.0949 (6.0516)	Prec@1 3.906 (5.430)	Prec@5 11.719 (14.792)
Epoch: [2][500/5005]	Time 0.052 (0.154)	Data 0.000 (0.107)	Loss 6.0755 (6.0499)	Prec@1 4.297 (5.438)	Prec@5 11.719 (14.802)
Epoch: [2][600/5005]	Time 0.076 (0.155)	Data 0.032 (0.107)	Loss 6.0436 (6.0485)	Prec@1 5.859 (5.394)	Prec@5 12.891 (14.764)
Epoch: [2][700/5005]	Time 0.045 (0.152)	Data 0.000 (0.105)	Loss 6.0374 (6.0466)	Prec@1 5.469 (5.387)	Prec@5 13.672 (14.769)
Epoch: [2][800/5005]	Time 0.048 (0.153)	Data 0.001 (0.105)	Loss 6.1301 (6.0462)	Prec@1 4.688 (5.374)	Prec@5 12.891 (14.751)
