Architecture: alexnet
Load dataset: 4.84 s
Compute features
0 / 5005	Time: 16.526 (16.526)
1 / 5005	Time: 0.039 (8.282)
2 / 5005	Time: 0.036 (5.534)
3 / 5005	Time: 0.036 (4.159)
4 / 5005	Time: 0.036 (3.334)
5 / 5005	Time: 0.037 (2.785)
6 / 5005	Time: 0.037 (2.392)
7 / 5005	Time: 0.039 (2.098)
8 / 5005	Time: 0.038 (1.869)
9 / 5005	Time: 0.037 (1.686)
10 / 5005	Time: 0.041 (1.537)
11 / 5005	Time: 0.040 (1.412)
12 / 5005	Time: 0.037 (1.306)
13 / 5005	Time: 0.037 (1.215)
14 / 5005	Time: 0.071 (1.139)
15 / 5005	Time: 0.037 (1.070)
16 / 5005	Time: 0.048 (1.010)
17 / 5005	Time: 0.050 (0.957)
18 / 5005	Time: 0.054 (0.909)
19 / 5005	Time: 0.044 (0.866)
20 / 5005	Time: 0.043 (0.827)
21 / 5005	Time: 0.037 (0.791)
22 / 5005	Time: 0.046 (0.759)
23 / 5005	Time: 0.037 (0.728)
24 / 5005	Time: 0.044 (0.701)
25 / 5005	Time: 1.755 (0.742)
26 / 5005	Time: 0.072 (0.717)
27 / 5005	Time: 0.068 (0.694)
28 / 5005	Time: 0.115 (0.674)
29 / 5005	Time: 0.040 (0.653)
30 / 5005	Time: 0.158 (0.637)
31 / 5005	Time: 0.058 (0.619)
32 / 5005	Time: 0.039 (0.601)
33 / 5005	Time: 0.045 (0.585)
34 / 5005	Time: 0.042 (0.569)
35 / 5005	Time: 0.056 (0.555)
36 / 5005	Time: 0.041 (0.541)
37 / 5005	Time: 1.990 (0.579)
38 / 5005	Time: 0.044 (0.565)
39 / 5005	Time: 0.058 (0.553)
40 / 5005	Time: 0.175 (0.544)
41 / 5005	Time: 0.048 (0.532)
42 / 5005	Time: 0.236 (0.525)
43 / 5005	Time: 0.061 (0.514)
44 / 5005	Time: 0.055 (0.504)
45 / 5005	Time: 0.042 (0.494)
46 / 5005	Time: 0.057 (0.485)
47 / 5005	Time: 0.039 (0.476)
48 / 5005	Time: 0.063 (0.467)
49 / 5005	Time: 2.102 (0.500)
50 / 5005	Time: 0.047 (0.491)
51 / 5005	Time: 0.059 (0.483)
52 / 5005	Time: 0.046 (0.474)
53 / 5005	Time: 0.041 (0.466)
54 / 5005	Time: 0.048 (0.459)
55 / 5005	Time: 0.043 (0.451)
56 / 5005	Time: 0.037 (0.444)
57 / 5005	Time: 0.038 (0.437)
58 / 5005	Time: 0.047 (0.430)
59 / 5005	Time: 0.047 (0.424)
60 / 5005	Time: 0.038 (0.418)
61 / 5005	Time: 1.956 (0.443)
62 / 5005	Time: 0.055 (0.436)
63 / 5005	Time: 0.038 (0.430)
64 / 5005	Time: 0.039 (0.424)
65 / 5005	Time: 0.043 (0.418)
66 / 5005	Time: 0.039 (0.413)
67 / 5005	Time: 0.039 (0.407)
68 / 5005	Time: 0.045 (0.402)
69 / 5005	Time: 0.047 (0.397)
70 / 5005	Time: 0.046 (0.392)
71 / 5005	Time: 0.041 (0.387)
72 / 5005	Time: 0.054 (0.382)
73 / 5005	Time: 2.162 (0.407)
74 / 5005	Time: 0.038 (0.402)
75 / 5005	Time: 0.049 (0.397)
