/home/annatruzzi/deepcluster_eval/dc_2/checkpoint0
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_2/checkpoint_dc2_epoch0.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 5.982 (5.982)	Data 4.747 (4.747)	Loss 6.9047 (6.9047)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][100/5005]	Time 0.059 (0.175)	Data 0.000 (0.116)	Loss 6.7666 (6.8283)	Prec@1 0.781 (0.657)	Prec@5 3.125 (2.692)
Epoch: [0][200/5005]	Time 0.051 (0.163)	Data 0.000 (0.111)	Loss 6.6206 (6.7459)	Prec@1 2.344 (1.242)	Prec@5 8.203 (4.268)
Epoch: [0][300/5005]	Time 0.044 (0.158)	Data 0.000 (0.107)	Loss 6.4778 (6.6725)	Prec@1 2.734 (1.646)	Prec@5 9.375 (5.403)
Epoch: [0][400/5005]	Time 0.050 (0.155)	Data 0.000 (0.106)	Loss 6.3944 (6.6093)	Prec@1 1.953 (1.974)	Prec@5 7.812 (6.307)
Epoch: [0][500/5005]	Time 0.060 (0.153)	Data 0.000 (0.104)	Loss 6.2091 (6.5553)	Prec@1 5.469 (2.260)	Prec@5 12.109 (7.012)
Epoch: [0][600/5005]	Time 0.045 (0.152)	Data 0.000 (0.104)	Loss 6.2962 (6.5075)	Prec@1 4.688 (2.517)	Prec@5 9.766 (7.624)
Epoch: [0][700/5005]	Time 0.049 (0.151)	Data 0.000 (0.102)	Loss 6.1285 (6.4651)	Prec@1 3.906 (2.741)	Prec@5 14.844 (8.142)
Epoch: [0][800/5005]	Time 0.573 (0.151)	Data 0.528 (0.103)	Loss 6.1661 (6.4277)	Prec@1 3.516 (2.916)	Prec@5 9.766 (8.602)
Epoch: [0][900/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 6.1308 (6.3926)	Prec@1 3.906 (3.089)	Prec@5 9.375 (9.003)
Epoch: [0][1000/5005]	Time 0.047 (0.151)	Data 0.000 (0.103)	Loss 6.1603 (6.3599)	Prec@1 5.078 (3.251)	Prec@5 12.500 (9.398)
Epoch: [0][1100/5005]	Time 0.045 (0.150)	Data 0.000 (0.102)	Loss 5.9836 (6.3314)	Prec@1 6.250 (3.382)	Prec@5 14.062 (9.702)
Epoch: [0][1200/5005]	Time 0.046 (0.151)	Data 0.000 (0.103)	Loss 6.0253 (6.3045)	Prec@1 3.906 (3.509)	Prec@5 13.281 (10.037)
Epoch: [0][1300/5005]	Time 0.050 (0.150)	Data 0.000 (0.102)	Loss 5.9965 (6.2800)	Prec@1 4.297 (3.632)	Prec@5 14.844 (10.302)
Epoch: [0][1400/5005]	Time 0.045 (0.151)	Data 0.001 (0.103)	Loss 5.9004 (6.2564)	Prec@1 6.641 (3.747)	Prec@5 14.453 (10.576)
