/home/annatruzzi/deepcluster_eval/dc_3/checkpoint0
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_3/checkpoint_dc3_epoch0.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 5.777 (5.777)	Data 3.755 (3.755)	Loss 6.9179 (6.9179)	Prec@1 0.000 (0.000)	Prec@5 0.391 (0.391)
Epoch: [0][100/5005]	Time 0.050 (0.151)	Data 0.000 (0.083)	Loss 6.7295 (6.8365)	Prec@1 1.172 (0.611)	Prec@5 3.516 (2.065)
Epoch: [0][200/5005]	Time 0.055 (0.132)	Data 0.000 (0.074)	Loss 6.5755 (6.7581)	Prec@1 0.391 (0.976)	Prec@5 6.250 (3.277)
Epoch: [0][300/5005]	Time 0.047 (0.127)	Data 0.000 (0.072)	Loss 6.5607 (6.6925)	Prec@1 0.781 (1.281)	Prec@5 5.078 (4.280)
Epoch: [0][400/5005]	Time 0.047 (0.123)	Data 0.000 (0.069)	Loss 6.4184 (6.6359)	Prec@1 3.516 (1.531)	Prec@5 12.109 (5.021)
Epoch: [0][500/5005]	Time 0.047 (0.120)	Data 0.000 (0.068)	Loss 6.3491 (6.5880)	Prec@1 1.953 (1.737)	Prec@5 8.984 (5.650)
Epoch: [0][600/5005]	Time 0.049 (0.119)	Data 0.001 (0.066)	Loss 6.3241 (6.5443)	Prec@1 2.734 (1.893)	Prec@5 10.938 (6.136)
Epoch: [0][700/5005]	Time 0.437 (0.119)	Data 0.391 (0.067)	Loss 6.2906 (6.5063)	Prec@1 3.125 (2.053)	Prec@5 8.984 (6.571)
Epoch: [0][800/5005]	Time 0.047 (0.118)	Data 0.000 (0.067)	Loss 6.1703 (6.4715)	Prec@1 3.125 (2.205)	Prec@5 8.594 (7.001)
Epoch: [0][900/5005]	Time 0.887 (0.118)	Data 0.841 (0.067)	Loss 6.1148 (6.4400)	Prec@1 2.734 (2.342)	Prec@5 9.375 (7.326)
Epoch: [0][1000/5005]	Time 0.047 (0.118)	Data 0.000 (0.067)	Loss 6.1571 (6.4119)	Prec@1 4.688 (2.471)	Prec@5 10.156 (7.634)
Epoch: [0][1100/5005]	Time 0.057 (0.117)	Data 0.000 (0.066)	Loss 6.1583 (6.3860)	Prec@1 3.906 (2.563)	Prec@5 10.156 (7.886)
Epoch: [0][1200/5005]	Time 0.053 (0.117)	Data 0.000 (0.065)	Loss 6.0669 (6.3619)	Prec@1 4.297 (2.670)	Prec@5 10.547 (8.154)
Epoch: [0][1300/5005]	Time 0.056 (0.117)	Data 0.000 (0.065)	Loss 6.0538 (6.3414)	Prec@1 5.078 (2.761)	Prec@5 13.281 (8.384)
Epoch: [0][1400/5005]	Time 0.062 (0.116)	Data 0.001 (0.065)	Loss 6.0011 (6.3220)	Prec@1 5.078 (2.847)	Prec@5 11.719 (8.601)
Epoch: [0][1500/5005]	Time 0.591 (0.116)	Data 0.544 (0.065)	Loss 5.9326 (6.3029)	Prec@1 4.688 (2.947)	Prec@5 12.500 (8.819)
Epoch: [0][1600/5005]	Time 0.059 (0.116)	Data 0.000 (0.065)	Loss 5.9089 (6.2858)	Prec@1 5.469 (3.023)	Prec@5 18.359 (9.009)
Epoch: [0][1700/5005]	Time 0.047 (0.116)	Data 0.001 (0.064)	Loss 6.0123 (6.2685)	Prec@1 2.344 (3.104)	Prec@5 11.719 (9.213)
Epoch: [0][1800/5005]	Time 0.054 (0.115)	Data 0.000 (0.064)	Loss 6.0104 (6.2534)	Prec@1 6.250 (3.174)	Prec@5 14.844 (9.387)
Epoch: [0][1900/5005]	Time 0.054 (0.115)	Data 0.000 (0.064)	Loss 5.9889 (6.2384)	Prec@1 5.469 (3.252)	Prec@5 12.109 (9.564)
Epoch: [0][2000/5005]	Time 0.054 (0.115)	Data 0.000 (0.064)	Loss 5.8797 (6.2242)	Prec@1 3.906 (3.322)	Prec@5 12.891 (9.732)
Epoch: [0][2100/5005]	Time 1.322 (0.116)	Data 1.275 (0.065)	Loss 5.9684 (6.2111)	Prec@1 4.297 (3.391)	Prec@5 9.375 (9.877)
Epoch: [0][2200/5005]	Time 0.053 (0.116)	Data 0.000 (0.065)	Loss 5.8451 (6.1986)	Prec@1 8.984 (3.449)	Prec@5 16.406 (10.013)
Epoch: [0][2300/5005]	Time 0.053 (0.116)	Data 0.000 (0.064)	Loss 6.0169 (6.1864)	Prec@1 3.516 (3.506)	Prec@5 14.062 (10.153)
Epoch: [0][2400/5005]	Time 0.047 (0.116)	Data 0.000 (0.064)	Loss 5.7293 (6.1756)	Prec@1 5.859 (3.559)	Prec@5 17.188 (10.290)
Epoch: [0][2500/5005]	Time 0.061 (0.115)	Data 0.000 (0.064)	Loss 5.8835 (6.1653)	Prec@1 5.078 (3.617)	Prec@5 13.281 (10.407)
Epoch: [0][2600/5005]	Time 0.059 (0.115)	Data 0.000 (0.064)	Loss 5.9886 (6.1549)	Prec@1 5.078 (3.678)	Prec@5 11.719 (10.534)
Epoch: [0][2700/5005]	Time 1.659 (0.116)	Data 1.612 (0.065)	Loss 5.8500 (6.1449)	Prec@1 7.422 (3.735)	Prec@5 14.062 (10.653)
Epoch: [0][2800/5005]	Time 0.046 (0.116)	Data 0.000 (0.064)	Loss 5.7662 (6.1348)	Prec@1 7.422 (3.793)	Prec@5 19.141 (10.780)
Epoch: [0][2900/5005]	Time 0.048 (0.115)	Data 0.000 (0.064)	Loss 5.8401 (6.1254)	Prec@1 4.297 (3.843)	Prec@5 13.672 (10.902)
Epoch: [0][3000/5005]	Time 0.047 (0.115)	Data 0.000 (0.064)	Loss 5.8958 (6.1166)	Prec@1 6.250 (3.882)	Prec@5 15.625 (10.999)
Epoch: [0][3100/5005]	Time 0.047 (0.115)	Data 0.000 (0.064)	Loss 5.7702 (6.1078)	Prec@1 6.641 (3.939)	Prec@5 14.062 (11.103)
Epoch: [0][3200/5005]	Time 0.067 (0.115)	Data 0.000 (0.064)	Loss 5.8641 (6.0993)	Prec@1 6.250 (3.987)	Prec@5 15.625 (11.212)
Epoch: [0][3300/5005]	Time 1.511 (0.116)	Data 1.465 (0.065)	Loss 5.8323 (6.0917)	Prec@1 7.031 (4.021)	Prec@5 17.578 (11.299)
Epoch: [0][3400/5005]	Time 0.047 (0.115)	Data 0.001 (0.064)	Loss 5.8407 (6.0840)	Prec@1 4.688 (4.072)	Prec@5 12.891 (11.399)
Epoch: [0][3500/5005]	Time 0.047 (0.115)	Data 0.001 (0.064)	Loss 5.8804 (6.0765)	Prec@1 4.297 (4.117)	Prec@5 12.500 (11.495)
Epoch: [0][3600/5005]	Time 0.048 (0.115)	Data 0.000 (0.064)	Loss 5.8332 (6.0692)	Prec@1 4.688 (4.159)	Prec@5 12.109 (11.581)
Epoch: [0][3700/5005]	Time 0.047 (0.115)	Data 0.000 (0.064)	Loss 5.7608 (6.0620)	Prec@1 6.641 (4.198)	Prec@5 16.016 (11.669)
Epoch: [0][3800/5005]	Time 0.052 (0.115)	Data 0.000 (0.064)	Loss 5.8832 (6.0553)	Prec@1 5.078 (4.239)	Prec@5 13.672 (11.753)
Epoch: [0][3900/5005]	Time 2.251 (0.116)	Data 2.201 (0.065)	Loss 5.6576 (6.0484)	Prec@1 8.984 (4.279)	Prec@5 17.578 (11.837)
Epoch: [0][4000/5005]	Time 0.060 (0.116)	Data 0.000 (0.065)	Loss 5.6567 (6.0415)	Prec@1 7.812 (4.322)	Prec@5 17.578 (11.927)
Epoch: [0][4100/5005]	Time 0.050 (0.116)	Data 0.001 (0.065)	Loss 5.6756 (6.0347)	Prec@1 7.422 (4.365)	Prec@5 17.578 (12.011)
Epoch: [0][4200/5005]	Time 0.047 (0.115)	Data 0.000 (0.064)	Loss 5.6718 (6.0283)	Prec@1 5.469 (4.405)	Prec@5 16.406 (12.099)
Epoch: [0][4300/5005]	Time 0.047 (0.115)	Data 0.000 (0.064)	Loss 5.6831 (6.0223)	Prec@1 7.422 (4.439)	Prec@5 17.188 (12.171)
Epoch: [0][4400/5005]	Time 0.076 (0.115)	Data 0.000 (0.064)	Loss 5.8832 (6.0164)	Prec@1 3.125 (4.476)	Prec@5 13.281 (12.244)
Epoch: [0][4500/5005]	Time 0.823 (0.115)	Data 0.777 (0.065)	Loss 5.7025 (6.0110)	Prec@1 7.812 (4.508)	Prec@5 15.234 (12.308)
Epoch: [0][4600/5005]	Time 0.048 (0.116)	Data 0.000 (0.065)	Loss 5.8225 (6.0055)	Prec@1 5.859 (4.542)	Prec@5 16.797 (12.378)
Epoch: [0][4700/5005]	Time 0.051 (0.116)	Data 0.000 (0.065)	Loss 5.6938 (6.0001)	Prec@1 6.250 (4.575)	Prec@5 16.797 (12.446)
Epoch: [0][4800/5005]	Time 0.047 (0.115)	Data 0.001 (0.065)	Loss 5.6299 (5.9949)	Prec@1 7.422 (4.604)	Prec@5 17.188 (12.510)
Epoch: [0][4900/5005]	Time 0.047 (0.115)	Data 0.000 (0.065)	Loss 5.9218 (5.9895)	Prec@1 4.297 (4.640)	Prec@5 13.281 (12.575)
