=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_2/checkpoint_dc2_epoch49.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 5.678 (5.678)	Data 4.287 (4.287)	Loss 6.9053 (6.9053)	Prec@1 0.000 (0.000)	Prec@5 1.172 (1.172)
Epoch: [0][100/5005]	Time 0.045 (0.172)	Data 0.000 (0.111)	Loss 6.8476 (6.8784)	Prec@1 1.953 (1.021)	Prec@5 5.469 (3.044)
Epoch: [0][200/5005]	Time 0.045 (0.162)	Data 0.000 (0.108)	Loss 6.7687 (6.8427)	Prec@1 3.906 (2.118)	Prec@5 10.547 (6.137)
Epoch: [0][300/5005]	Time 0.045 (0.155)	Data 0.000 (0.104)	Loss 6.7124 (6.8068)	Prec@1 3.125 (2.763)	Prec@5 13.281 (8.099)
Epoch: [0][400/5005]	Time 0.051 (0.155)	Data 0.000 (0.105)	Loss 6.6256 (6.7721)	Prec@1 5.859 (3.364)	Prec@5 17.188 (9.495)
Epoch: [0][500/5005]	Time 0.045 (0.152)	Data 0.000 (0.102)	Loss 6.5471 (6.7381)	Prec@1 8.203 (3.835)	Prec@5 18.359 (10.705)
Epoch: [0][600/5005]	Time 0.050 (0.152)	Data 0.000 (0.102)	Loss 6.5278 (6.7047)	Prec@1 6.250 (4.190)	Prec@5 15.234 (11.660)
Epoch: [0][700/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.4351 (6.6726)	Prec@1 9.375 (4.518)	Prec@5 21.094 (12.429)
Epoch: [0][800/5005]	Time 0.045 (0.151)	Data 0.000 (0.101)	Loss 6.4132 (6.6412)	Prec@1 3.906 (4.749)	Prec@5 15.625 (13.065)
Epoch: [0][900/5005]	Time 0.045 (0.149)	Data 0.000 (0.100)	Loss 6.3311 (6.6099)	Prec@1 6.641 (4.964)	Prec@5 19.141 (13.676)
Epoch: [0][1000/5005]	Time 0.051 (0.150)	Data 0.000 (0.101)	Loss 6.3273 (6.5796)	Prec@1 6.250 (5.196)	Prec@5 19.922 (14.237)
Epoch: [0][1100/5005]	Time 0.045 (0.150)	Data 0.000 (0.101)	Loss 6.2227 (6.5497)	Prec@1 6.250 (5.405)	Prec@5 17.188 (14.705)
Epoch: [0][1200/5005]	Time 0.046 (0.150)	Data 0.001 (0.101)	Loss 6.1985 (6.5209)	Prec@1 7.422 (5.593)	Prec@5 20.703 (15.155)
Epoch: [0][1300/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.1431 (6.4933)	Prec@1 8.984 (5.786)	Prec@5 17.969 (15.556)
Epoch: [0][1400/5005]	Time 0.046 (0.150)	Data 0.000 (0.101)	Loss 6.0716 (6.4653)	Prec@1 8.984 (5.960)	Prec@5 23.828 (15.967)
Epoch: [0][1500/5005]	Time 0.049 (0.149)	Data 0.000 (0.100)	Loss 6.0562 (6.4386)	Prec@1 8.203 (6.139)	Prec@5 21.484 (16.343)
Epoch: [0][1600/5005]	Time 0.045 (0.149)	Data 0.000 (0.101)	Loss 6.0855 (6.4129)	Prec@1 5.469 (6.292)	Prec@5 17.969 (16.694)
Epoch: [0][1700/5005]	Time 1.692 (0.150)	Data 1.647 (0.101)	Loss 6.0357 (6.3870)	Prec@1 9.375 (6.454)	Prec@5 21.484 (17.042)
Epoch: [0][1800/5005]	Time 0.073 (0.149)	Data 0.000 (0.100)	Loss 5.9684 (6.3622)	Prec@1 8.594 (6.620)	Prec@5 21.875 (17.367)
Epoch: [0][1900/5005]	Time 0.049 (0.149)	Data 0.001 (0.101)	Loss 5.8265 (6.3375)	Prec@1 10.547 (6.765)	Prec@5 27.344 (17.694)
Epoch: [0][2000/5005]	Time 0.045 (0.149)	Data 0.001 (0.100)	Loss 5.6759 (6.3139)	Prec@1 10.156 (6.907)	Prec@5 30.078 (17.988)
Epoch: [0][2100/5005]	Time 0.045 (0.149)	Data 0.000 (0.100)	Loss 5.8627 (6.2907)	Prec@1 10.547 (7.046)	Prec@5 24.219 (18.284)
Epoch: [0][2200/5005]	Time 0.050 (0.148)	Data 0.000 (0.099)	Loss 5.8853 (6.2683)	Prec@1 5.469 (7.181)	Prec@5 20.312 (18.539)
Epoch: [0][2300/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.6294 (6.2460)	Prec@1 10.156 (7.330)	Prec@5 30.859 (18.826)
Epoch: [0][2400/5005]	Time 0.045 (0.148)	Data 0.000 (0.099)	Loss 5.7218 (6.2242)	Prec@1 9.766 (7.458)	Prec@5 27.344 (19.083)
Epoch: [0][2500/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.7673 (6.2027)	Prec@1 9.766 (7.589)	Prec@5 25.391 (19.342)
Epoch: [0][2600/5005]	Time 0.855 (0.148)	Data 0.810 (0.100)	Loss 5.6039 (6.1823)	Prec@1 11.328 (7.698)	Prec@5 29.297 (19.566)
Epoch: [0][2700/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.6956 (6.1621)	Prec@1 8.594 (7.824)	Prec@5 23.047 (19.799)
Epoch: [0][2800/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.6314 (6.1429)	Prec@1 8.984 (7.932)	Prec@5 23.047 (20.017)
Epoch: [0][2900/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.5286 (6.1236)	Prec@1 11.328 (8.053)	Prec@5 30.469 (20.245)
Epoch: [0][3000/5005]	Time 0.063 (0.148)	Data 0.000 (0.100)	Loss 5.5031 (6.1045)	Prec@1 12.500 (8.173)	Prec@5 27.734 (20.472)
Epoch: [0][3100/5005]	Time 0.046 (0.148)	Data 0.001 (0.100)	Loss 5.4301 (6.0861)	Prec@1 11.328 (8.281)	Prec@5 33.594 (20.676)
Epoch: [0][3200/5005]	Time 0.050 (0.148)	Data 0.000 (0.100)	Loss 5.5303 (6.0680)	Prec@1 10.156 (8.398)	Prec@5 26.953 (20.888)
Epoch: [0][3300/5005]	Time 0.045 (0.148)	Data 0.001 (0.099)	Loss 5.3657 (6.0502)	Prec@1 11.719 (8.511)	Prec@5 29.297 (21.084)
Epoch: [0][3400/5005]	Time 0.051 (0.148)	Data 0.000 (0.100)	Loss 5.6100 (6.0333)	Prec@1 8.203 (8.616)	Prec@5 23.438 (21.272)
Epoch: [0][3500/5005]	Time 0.308 (0.148)	Data 0.263 (0.100)	Loss 5.3755 (6.0164)	Prec@1 13.672 (8.723)	Prec@5 28.125 (21.456)
Epoch: [0][3600/5005]	Time 0.046 (0.148)	Data 0.000 (0.100)	Loss 5.3899 (6.0002)	Prec@1 13.281 (8.823)	Prec@5 25.781 (21.633)
Epoch: [0][3700/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.4811 (5.9846)	Prec@1 10.547 (8.914)	Prec@5 23.047 (21.804)
Epoch: [0][3800/5005]	Time 0.053 (0.148)	Data 0.000 (0.100)	Loss 5.5647 (5.9688)	Prec@1 10.938 (9.012)	Prec@5 24.609 (21.985)
Epoch: [0][3900/5005]	Time 0.951 (0.148)	Data 0.906 (0.100)	Loss 5.3561 (5.9532)	Prec@1 10.938 (9.103)	Prec@5 23.047 (22.150)
Epoch: [0][4000/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.3392 (5.9383)	Prec@1 16.016 (9.192)	Prec@5 30.859 (22.311)
Epoch: [0][4100/5005]	Time 0.051 (0.148)	Data 0.000 (0.100)	Loss 5.3117 (5.9234)	Prec@1 13.281 (9.292)	Prec@5 32.812 (22.480)
Epoch: [0][4200/5005]	Time 0.052 (0.148)	Data 0.000 (0.100)	Loss 5.3980 (5.9090)	Prec@1 13.672 (9.380)	Prec@5 27.344 (22.631)
Epoch: [0][4300/5005]	Time 0.051 (0.148)	Data 0.000 (0.099)	Loss 5.2078 (5.8949)	Prec@1 12.500 (9.461)	Prec@5 28.125 (22.777)
Epoch: [0][4400/5005]	Time 0.822 (0.148)	Data 0.777 (0.100)	Loss 5.3270 (5.8806)	Prec@1 13.281 (9.545)	Prec@5 30.078 (22.938)
Epoch: [0][4500/5005]	Time 0.046 (0.148)	Data 0.000 (0.100)	Loss 5.3927 (5.8670)	Prec@1 12.500 (9.627)	Prec@5 28.516 (23.082)
Epoch: [0][4600/5005]	Time 0.055 (0.148)	Data 0.000 (0.099)	Loss 5.2065 (5.8537)	Prec@1 9.766 (9.707)	Prec@5 28.125 (23.224)
Epoch: [0][4700/5005]	Time 0.045 (0.148)	Data 0.000 (0.099)	Loss 5.1547 (5.8403)	Prec@1 14.844 (9.793)	Prec@5 28.906 (23.369)
Epoch: [0][4800/5005]	Time 0.045 (0.148)	Data 0.000 (0.100)	Loss 5.2145 (5.8275)	Prec@1 12.109 (9.874)	Prec@5 30.469 (23.506)
Epoch: [0][4900/5005]	Time 0.063 (0.148)	Data 0.013 (0.099)	Loss 5.1877 (5.8148)	Prec@1 13.672 (9.952)	Prec@5 28.516 (23.640)
Epoch: [0][5000/5005]	Time 0.045 (0.147)	Data 0.000 (0.099)	Loss 5.1768 (5.8018)	Prec@1 14.453 (10.029)	Prec@5 33.594 (23.785)
Validation: [0/391]	Time 6.351 (6.351)	Loss 4.4096 (4.4096)	Prec@1 35.156 (35.156)	Prec@5 56.250 (56.250)
Validation: [100/391]	Time 0.370 (0.431)	Loss 4.6694 (5.0500)	Prec@1 16.406 (13.041)	Prec@5 47.656 (30.299)
Validation: [200/391]	Time 0.363 (0.400)	Loss 5.8773 (5.1270)	Prec@1 7.031 (13.060)	Prec@5 12.500 (29.789)
