/home/annatruzzi/deepcluster_eval/dc_3/checkpoint0
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_3/checkpoint_dc3_epoch0.pth.tar'
Loaded
Epoch: [0][0/5005]	Time 4.479 (4.479)	Data 3.068 (3.068)	Loss 6.9102 (6.9102)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [0][100/5005]	Time 0.049 (0.242)	Data 0.000 (0.179)	Loss 6.7551 (6.8462)	Prec@1 1.172 (0.503)	Prec@5 5.469 (2.139)
Epoch: [0][200/5005]	Time 0.046 (0.229)	Data 0.000 (0.172)	Loss 6.6094 (6.7739)	Prec@1 0.781 (0.882)	Prec@5 4.688 (3.337)
Epoch: [0][300/5005]	Time 0.070 (0.225)	Data 0.000 (0.170)	Loss 6.5642 (6.7111)	Prec@1 0.391 (1.154)	Prec@5 3.906 (4.241)
Epoch: [0][400/5005]	Time 0.423 (0.224)	Data 0.328 (0.171)	Loss 6.4578 (6.6564)	Prec@1 1.562 (1.377)	Prec@5 10.547 (4.868)
Epoch: [0][500/5005]	Time 0.048 (0.221)	Data 0.000 (0.169)	Loss 6.3548 (6.6095)	Prec@1 2.734 (1.577)	Prec@5 8.594 (5.427)
Epoch: [0][600/5005]	Time 0.049 (0.219)	Data 0.000 (0.167)	Loss 6.3044 (6.5664)	Prec@1 4.297 (1.741)	Prec@5 8.984 (5.905)
Epoch: [0][700/5005]	Time 0.055 (0.220)	Data 0.000 (0.168)	Loss 6.3153 (6.5289)	Prec@1 3.125 (1.916)	Prec@5 7.031 (6.309)
Epoch: [0][800/5005]	Time 0.050 (0.218)	Data 0.000 (0.166)	Loss 6.1699 (6.4941)	Prec@1 3.516 (2.086)	Prec@5 10.156 (6.706)
Epoch: [0][900/5005]	Time 1.170 (0.219)	Data 1.124 (0.168)	Loss 6.1566 (6.4629)	Prec@1 3.906 (2.212)	Prec@5 9.375 (7.048)
Epoch: [0][1000/5005]	Time 0.050 (0.219)	Data 0.000 (0.168)	Loss 6.1758 (6.4348)	Prec@1 3.125 (2.330)	Prec@5 8.594 (7.354)
Epoch: [0][1100/5005]	Time 0.047 (0.218)	Data 0.000 (0.167)	Loss 6.1895 (6.4091)	Prec@1 2.734 (2.432)	Prec@5 8.594 (7.623)
