/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0
=> loading checkpoint '/home/annatruzzi/checkpoints/multiple_dc_instantiations/dc_1/checkpoint_dc1_epoch0.pth.tar'
Loaded
/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0
/home/annatruzzi/deepcluster_eval/dc_1/checkpoint0/log
Successful logger creation
Epoch: [0][3400/5005]	Time 0.045 (0.114)	Data 0.000 (0.064)	Loss 6.1169 (6.3574)	Prec@1 5.469 (2.549)	Prec@5 10.156 (7.827)
Epoch: [0][3500/5005]	Time 0.045 (0.114)	Data 0.000 (0.064)	Loss 6.0906 (6.3508)	Prec@1 4.297 (2.584)	Prec@5 11.328 (7.915)
Epoch: [0][3600/5005]	Time 0.054 (0.114)	Data 0.000 (0.064)	Loss 6.2306 (6.3446)	Prec@1 4.297 (2.610)	Prec@5 10.547 (7.990)
Epoch: [0][3700/5005]	Time 0.045 (0.114)	Data 0.000 (0.064)	Loss 6.1374 (6.3388)	Prec@1 3.125 (2.637)	Prec@5 8.984 (8.058)
Epoch: [0][3800/5005]	Time 0.052 (0.114)	Data 0.001 (0.064)	Loss 6.1911 (6.3329)	Prec@1 3.125 (2.666)	Prec@5 8.984 (8.131)
Epoch: [0][3900/5005]	Time 0.045 (0.115)	Data 0.000 (0.065)	Loss 6.1897 (6.3272)	Prec@1 3.516 (2.693)	Prec@5 8.984 (8.196)
Epoch: [0][4000/5005]	Time 0.045 (0.115)	Data 0.001 (0.065)	Loss 6.0831 (6.3219)	Prec@1 3.906 (2.724)	Prec@5 12.500 (8.257)
Epoch: [0][4100/5005]	Time 0.052 (0.115)	Data 0.001 (0.065)	Loss 6.0638 (6.3164)	Prec@1 7.812 (2.750)	Prec@5 15.234 (8.324)
Epoch: [0][4200/5005]	Time 0.047 (0.115)	Data 0.000 (0.065)	Loss 6.0063 (6.3111)	Prec@1 3.125 (2.779)	Prec@5 11.328 (8.389)
Epoch: [0][4300/5005]	Time 0.190 (0.115)	Data 0.146 (0.065)	Loss 6.1100 (6.3058)	Prec@1 4.688 (2.808)	Prec@5 11.328 (8.452)
Epoch: [0][4400/5005]	Time 0.055 (0.115)	Data 0.000 (0.065)	Loss 5.9796 (6.3008)	Prec@1 3.906 (2.834)	Prec@5 11.328 (8.506)
